id_sitio,nombre,calle,num_exterior,num_interior,colonia,cp,delegacion,estado,telefono
261,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-G330,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
262,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-406,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
263,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-417,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
264,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-G340,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
265,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-G336,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,1664-7196
266,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-G331,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
267,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-G333,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,1664-7235
268,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-G330,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
269,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-G330,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
270,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-406,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
271,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-108,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,1664-7080
272,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-G331,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
273,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-222,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,1664-7151
274,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-417,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
275,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-G336,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,1664-7196
276,ABC STA. FÉ,AV. CARLOS GRAEF FERNANDEZ,154-402,,TLAXALA SANTAFE,5300,CUAJIMALPA DE MORELOS,,
277,H. DE MÈXICO,AGRARISMO,208-653B,,ESCANDON,11800,MIGUEL HIDALGO,,55169900
278,H. DE MÈXICO,AGRARISMO,208-505A,,ESCANDON,11800,MIGUEL HIDALGO,,55169662
